sample_count	feature	expression	expected_value	tolerance
48	ret_1	ts_delta(close,1)/(abs(ts_delay(close,1))+1e-9)	0.00256943763743349	1e-9
48	ret_3	ts_delta(close,3)/(abs(ts_delay(close,3))+1e-9)	0.0057508975737248667	1e-9
48	vol_delta_1	ts_delta(volume,1)	-14.811448864688828	1e-9
48	rsi_14	rsi(close,14)	100	1e-9
48	macd_line	ema(close,12)-ema(close,26)	0.35956870364564963	1e-9
48	macd_signal	ema(ema(close,12)-ema(close,26),9)	0.1388984981531016	1e-9
48	macd_hist	(ema(close,12)-ema(close,26))-ema(ema(close,12)-ema(close,26),9)	0.22067020549254804	1e-9
48	rank_12	ts_rank(close,12)	0.95833333333333337	1e-9
48	corr_12	ts_corr(close,volume,12)	-0.3487596933207775	1e-9
96	ret_1	ts_delta(close,1)/(abs(ts_delay(close,1))+1e-9)	0.0018459248310619652	1e-9
96	ret_3	ts_delta(close,3)/(abs(ts_delay(close,3))+1e-9)	0.0088209205254609069	1e-9
96	vol_delta_1	ts_delta(volume,1)	24.941285054131868	1e-9
96	rsi_14	rsi(close,14)	99.699767059656551	1e-9
96	macd_line	ema(close,12)-ema(close,26)	1.0641140516637222	1e-9
96	macd_signal	ema(ema(close,12)-ema(close,26),9)	0.59124355215960189	1e-9
96	macd_hist	(ema(close,12)-ema(close,26))-ema(ema(close,12)-ema(close,26),9)	0.4728704995041203	1e-9
96	rank_12	ts_rank(close,12)	0.95833333333333337	1e-9
96	corr_12	ts_corr(close,volume,12)	0.95016869802209425	1e-9
128	ret_1	ts_delta(close,1)/(abs(ts_delay(close,1))+1e-9)	0.0048894391859051721	1e-9
128	ret_3	ts_delta(close,3)/(abs(ts_delay(close,3))+1e-9)	0.012606324265148541	1e-9
128	vol_delta_1	ts_delta(volume,1)	24.688044885899444	1e-9
128	rsi_14	rsi(close,14)	42.130157148619105	1e-9
128	macd_line	ema(close,12)-ema(close,26)	-0.32818498501163162	1e-9
128	macd_signal	ema(ema(close,12)-ema(close,26),9)	-0.34940392658807196	1e-9
128	macd_hist	(ema(close,12)-ema(close,26))-ema(ema(close,12)-ema(close,26),9)	0.021218941576440331	1e-9
128	rank_12	ts_rank(close,12)	0.95833333333333337	1e-9
128	corr_12	ts_corr(close,volume,12)	0.30944178555447516	1e-9
